host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
474088828000000,9721,-0.86,-0.026,-0.518,0.03,0.14,0.05
474088859000000,9741,-0.857,-0.022,-0.519,0.0,0.18,0.02
474088875000000,9761,-0.854,-0.023,-0.519,-0.05,-0.06,-0.1
474088890000000,9781,-0.86,-0.028,-0.518,-0.01,-0.09,-0.06
474088921000000,9801,-0.857,-0.023,-0.518,0.04,0.13,0.09
474088937000000,9821,-0.85,-0.029,-0.518,0.05,0.11,0.04
474088953000000,9841,-0.86,-0.024,-0.516,0.04,-0.04,-0.07
474088984000000,9861,-0.858,-0.024,-0.52,0.03,-0.08,-0.02
474089000000000,9881,-0.854,-0.023,-0.507,0.02,-0.04,0.11
474089015000000,9901,-0.854,-0.028,-0.514,0.05,-0.03,0.02
474089031000000,9921,-0.859,-0.028,-0.519,-0.01,-0.12,-0.1
474089062000000,9941,-0.859,-0.023,-0.52,0.01,0.03,-0.05
474089078000000,9961,-0.857,-0.023,-0.52,0.04,0.09,0.07
474089093000000,9981,-0.854,-0.024,-0.522,-0.01,-0.05,-0.03
474089109000000,10001,-0.853,-0.023,-0.513,0.07,-0.19,-0.02
474089140000000,10021,-0.856,-0.024,-0.513,0.02,0.08,0.08
474089156000000,10041,-0.858,-0.022,-0.512,-0.04,0.11,-0.04
474089171000000,10061,-0.854,-0.025,-0.509,-0.03,0.02,-0.12
474089203000000,10081,-0.86,-0.024,-0.517,-0.08,-0.21,-0.0
474089218000000,10101,-0.856,-0.029,-0.514,-0.04,0.2,0.11
474089234000000,10121,-0.855,-0.023,-0.514,0.03,0.1,0.05
474089250000000,10141,-0.854,-0.025,-0.517,0.05,-0.07,-0.02
474089281000000,10161,-0.855,-0.027,-0.522,0.02,-0.11,-0.01
474089296000000,10181,-0.857,-0.025,-0.516,-0.06,0.1,0.16
474089312000000,10201,-0.858,-0.024,-0.522,0.02,0.02,0.05
474089343000000,10221,-0.859,-0.02,-0.515,0.02,-0.09,-0.07
474089359000000,10241,-0.857,-0.023,-0.526,0.03,0.06,-0.04
474089375000000,10261,-0.861,-0.024,-0.517,-0.06,0.04,0.08
474089390000000,10281,-0.857,-0.024,-0.521,0.02,-0.08,0.06
474089421000000,10301,-0.853,-0.027,-0.52,0.04,-0.09,-0.06
474089437000000,10321,-0.852,-0.026,-0.517,0.0,-0.06,-0.04
474089453000000,10341,-0.85,-0.026,-0.523,0.05,0.17,-0.02
474089484000000,10361,-0.858,-0.028,-0.518,-0.02,-0.09,-0.0
474089500000000,10381,-0.855,-0.028,-0.515,-0.1,-0.14,-0.05
474089515000000,10401,-0.853,-0.03,-0.517,0.05,-0.06,0.02
474089531000000,10421,-0.856,-0.026,-0.515,0.02,0.1,0.05
474089562000000,10441,-0.858,-0.024,-0.509,-0.02,-0.1,-0.07
474089578000000,10461,-0.858,-0.023,-0.512,0.02,-0.14,-0.05
474089593000000,10481,-0.855,-0.023,-0.508,0.05,-0.02,0.1
474089609000000,10501,-0.86,-0.023,-0.512,0.03,-0.02,0.08
474089640000000,10521,-0.855,-0.028,-0.513,0.09,-0.04,-0.05
474089656000000,10541,-0.858,-0.021,-0.518,0.02,-0.14,-0.04
474089671000000,10561,-0.859,-0.022,-0.515,0.03,0.15,0.05
474089703000000,10581,-0.855,-0.024,-0.521,0.01,0.04,0.11
474089718000000,10601,-0.854,-0.027,-0.521,-0.05,-0.09,0.01
474089734000000,10621,-0.858,-0.023,-0.513,0.03,-0.1,-0.01
474089750000000,10641,-0.852,-0.023,-0.516,0.02,0.13,0.07
474089781000000,10661,-0.86,-0.03,-0.521,0.02,0.07,0.09
474089796000000,10681,-0.856,-0.026,-0.514,-0.04,-0.19,-0.02
474089812000000,10701,-0.851,-0.021,-0.521,0.03,0.09,0.01
474089843000000,10721,-0.856,-0.025,-0.521,0.02,0.11,-0.01
474089859000000,10741,-0.86,-0.026,-0.516,-0.01,0.08,0.01
474089875000000,10761,-0.856,-0.025,-0.519,-0.01,-0.07,-0.04
474089890000000,10781,-0.858,-0.028,-0.519,-0.05,0.15,0.03
474089921000000,10801,-0.857,-0.028,-0.517,0.0,0.11,0.04
474089937000000,10821,-0.85,-0.024,-0.516,0.01,-0.12,-0.04
474089953000000,10841,-0.86,-0.027,-0.514,-0.02,0.03,-0.03
474089984000000,10861,-0.856,-0.022,-0.52,0.01,-0.01,0.11
474090000000000,10881,-0.86,-0.023,-0.512,0.03,-0.01,0.01
474090015000000,10901,-0.857,-0.026,-0.518,-0.08,-0.02,-0.03
474090031000000,10921,-0.852,-0.022,-0.513,-0.03,-0.21,-0.11
474090062000000,10941,-0.858,-0.025,-0.516,0.02,0.11,0.06
474090078000000,10961,-0.853,-0.023,-0.517,0.02,-0.02,0.08
474090093000000,10981,-0.856,-0.028,-0.509,-0.07,-0.08,-0.0
474090109000000,11001,-0.858,-0.02,-0.514,0.0,-0.02,-0.0
474090140000000,11021,-0.855,-0.028,-0.515,0.02,0.04,0.05
474090156000000,11041,-0.852,-0.025,-0.518,0.01,0.06,0.05
474090171000000,11061,-0.862,-0.025,-0.514,-0.04,0.11,-0.08
474090203000000,11081,-0.856,-0.026,-0.513,-0.05,0.11,-0.1
474090218000000,11101,-0.859,-0.023,-0.518,0.03,0.07,-0.02
474090234000000,11121,-0.855,-0.021,-0.519,-0.01,-0.06,0.05
474090250000000,11141,-0.853,-0.026,-0.519,0.03,-0.14,0.02
474090281000000,11161,-0.855,-0.025,-0.523,0.04,0.01,-0.0
474090296000000,11181,-0.861,-0.028,-0.511,0.05,0.18,0.05
474090312000000,11201,-0.855,-0.025,-0.517,-0.01,-0.16,-0.11
474090343000000,11221,-0.858,-0.027,-0.522,-0.01,-0.25,-0.05
474090359000000,11241,-0.858,-0.025,-0.514,-0.01,0.04,0.11
474090375000000,11261,-0.855,-0.022,-0.511,0.01,-0.02,0.08
474090390000000,11281,-0.856,-0.026,-0.522,-0.05,0.01,-0.07
474090421000000,11301,-0.855,-0.024,-0.516,-0.03,-0.22,-0.03
474090437000000,11321,-0.855,-0.029,-0.522,0.0,0.17,0.12
474090453000000,11341,-0.855,-0.025,-0.508,0.03,0.11,0.11
474090484000000,11361,-0.856,-0.027,-0.519,-0.01,-0.21,-0.07
474090500000000,11381,-0.856,-0.026,-0.516,0.04,-0.03,-0.08
474090515000000,11401,-0.856,-0.025,-0.51,-0.07,0.15,0.08
474090531000000,11421,-0.856,-0.024,-0.51,0.09,0.08,0.07
474090562000000,11441,-0.859,-0.022,-0.509,0.03,-0.12,-0.02
474090578000000,11461,-0.857,-0.028,-0.508,0.02,0.04,-0.02
474090593000000,11481,-0.852,-0.028,-0.508,-0.01,0.21,-0.05
474090609000000,11501,-0.856,-0.025,-0.516,0.02,0.04,0.01
474090640000000,11521,-0.852,-0.021,-0.516,-0.01,-0.15,0.05
474090656000000,11541,-0.853,-0.028,-0.52,-0.01,0.01,0.04
474090671000000,11561,-0.855,-0.025,-0.518,0.02,0.09,0.02
474090703000000,11581,-0.856,-0.025,-0.516,-0.02,0.01,-0.08
474090718000000,11601,-0.857,-0.027,-0.516,-0.01,-0.06,-0.05
474090734000000,11621,-0.857,-0.021,-0.512,-0.01,0.05,0.09
474090750000000,11641,-0.859,-0.026,-0.516,0.02,0.01,-0.0
474090781000000,11661,-0.86,-0.025,-0.513,0.01,-0.15,-0.08
474090796000000,11681,-0.856,-0.026,-0.518,-0.04,-0.07,-0.09
474090812000000,11701,-0.859,-0.025,-0.512,0.01,0.01,0.08
474090843000000,11721,-0.859,-0.027,-0.517,0.02,0.01,0.08
474090859000000,11741,-0.856,-0.025,-0.515,-0.06,-0.12,-0.03
474090875000000,11761,-0.855,-0.027,-0.517,-0.09,0.02,0.03
474090890000000,11781,-0.859,-0.024,-0.513,-0.03,0.12,0.06
474090921000000,11801,-0.854,-0.026,-0.519,0.02,0.02,0.11
474090937000000,11821,-0.856,-0.025,-0.522,-0.04,-0.14,0.05
474090953000000,11841,-0.855,-0.024,-0.519,0.03,0.05,0.02
474090968000000,11861,-0.859,-0.03,-0.525,0.1,0.11,0.03
474091000000000,11881,-0.852,-0.024,-0.516,0.02,-0.06,-0.08
474091015000000,11901,-0.853,-0.02,-0.517,-0.1,-0.06,-0.02
474091031000000,11921,-0.854,-0.023,-0.517,0.06,0.04,0.08
474091062000000,11941,-0.854,-0.025,-0.513,0.08,0.05,0.09
474091078000000,11961,-0.856,-0.024,-0.517,0.0,-0.12,0.01
474091093000000,11981,-0.859,-0.019,-0.519,-0.02,-0.04,-0.01
474091109000000,12001,-0.859,-0.024,-0.513,0.08,-0.0,0.08
474091140000000,12021,-0.857,-0.025,-0.516,0.03,-0.02,0.11
474091156000000,12041,-0.854,-0.028,-0.515,-0.03,-0.08,0.08
474091171000000,12061,-0.855,-0.028,-0.511,-0.13,-0.18,0.01
474091203000000,12081,-0.86,-0.026,-0.511,-0.04,0.02,0.07
474091218000000,12101,-0.857,-0.027,-0.519,0.02,-0.12,0.16
474091234000000,12121,-0.854,-0.024,-0.509,0.05,-0.23,-0.0
474091250000000,12141,-0.859,-0.025,-0.513,0.09,-0.18,-0.0
474091281000000,12161,-0.857,-0.026,-0.51,0.09,-0.06,0.09
474091296000000,12181,-0.86,-0.026,-0.512,0.04,-0.01,0.1
474091312000000,12201,-0.855,-0.024,-0.521,-0.04,-0.19,0.05
474091343000000,12221,-0.852,-0.033,-0.524,0.0,0.05,-0.0
474091359000000,12241,-0.853,-0.028,-0.511,0.1,-0.17,0.03
474091375000000,12261,-0.858,-0.022,-0.528,0.09,0.27,0.08
474091390000000,12281,-0.865,-0.024,-0.509,0.17,-0.49,0.14
474091421000000,12301,-0.864,-0.024,-0.508,0.12,-0.07,0.08
474091437000000,12321,-0.862,-0.022,-0.502,0.06,-0.06,0.1
474091453000000,12341,-0.859,-0.019,-0.51,-0.05,0.01,-0.04
474091484000000,12361,-0.857,-0.023,-0.522,-0.13,0.21,0.01
474091500000000,12381,-0.853,-0.022,-0.52,-0.1,-0.01,0.01
474091515000000,12401,-0.851,-0.022,-0.525,-0.1,0.31,0.01
474091531000000,12421,-0.855,-0.022,-0.518,-0.05,-0.02,-0.02
474091562000000,12441,-0.856,-0.026,-0.518,-0.04,-0.0,-0.08
474091578000000,12461,-0.856,-0.029,-0.523,0.12,0.07,0.05
474091593000000,12481,-0.861,-0.027,-0.512,0.0,-0.19,0.08
474091609000000,12501,-0.862,-0.023,-0.508,0.04,-0.15,0.01
474091640000000,12521,-0.859,-0.024,-0.515,-0.02,-0.11,-0.01
474091656000000,12541,-0.854,-0.025,-0.512,-0.11,0.11,0.06
474091671000000,12561,-0.854,-0.023,-0.525,-0.12,0.08,0.01
474091703000000,12581,-0.856,-0.021,-0.522,-0.12,-0.17,-0.0
474091718000000,12601,-0.855,-0.025,-0.518,-0.02,0.04,0.05
474091734000000,12621,-0.855,-0.02,-0.512,0.06,0.08,0.01
474091750000000,12641,-0.862,-0.026,-0.514,0.11,-0.02,0.05
474091781000000,12661,-0.859,-0.025,-0.518,-0.01,-0.13,0.01
474091796000000,12681,-0.859,-0.025,-0.514,0.03,-0.1,0.07
474091812000000,12701,-0.855,-0.023,-0.524,-0.1,0.16,-0.05
474091843000000,12721,-0.859,-0.02,-0.517,-0.02,0.1,-0.08
474091859000000,12741,-0.857,-0.024,-0.51,-0.04,0.07,-0.07
474091875000000,12761,-0.852,-0.023,-0.523,0.03,0.2,0.06
474091890000000,12781,-0.85,-0.024,-0.519,-0.01,0.13,0.11
474091921000000,12801,-0.856,-0.027,-0.517,0.0,-0.09,-0.02
474091937000000,12821,-0.855,-0.028,-0.517,0.04,-0.11,-0.02
